id,genre_name
1,Adventure
2,Children
3,Drama
4,Horror
5,Sci-Fi
6,Romance
7,Music
8,Fantasy
9,Comedy
10,War
11,Crime
12,Action
13,Thriller
14,Animation
15,Biography
16,Mystery
17,Family
18,History
